Year,ID Geography,Geography,Average Income,Population
"2016","04000US42","Pennsylvania",30119.595455467417,12783977
"2016","04000US44","Rhode Island",31863.978476819622,1054491
"2016","04000US45","South Carolina",25493.096044040827,4834605
"2016","04000US46","South Dakota",27374.445793353683,851058
"2016","04000US47","Tennessee",25904.634733397586,6548009
"2016","04000US48","Texas",27758.488946631423,26956435
"2016","04000US49","Utah",25593.961428246315,2948427
"2016","04000US50","Vermont",31034.59619416558,626249
"2016","04000US51","Virginia",34988.095511823216,8310301
"2016","04000US53","Washington",32975.022959232,7073146
"2016","04000US54","West Virginia",24036.79934477805,1846092
"2016","04000US55","Wisconsin",29144.44943645285,5754798
"2016","04000US56","Wyoming",30146.70795449283,583029
"2016","04000US72","Puerto Rico",11666.086360088231,3529385
"2015","04000US01","Alabama",24080.523924465182,4830620
"2015","04000US02","Alaska",33495.03965092893,733375
"2015","04000US04","Arizona",25821.58477839567,6641928
"2015","04000US05","Arkansas",22786.80516435496,2958208
"2015","04000US06","California",30233.426107865125,38421464
"2015","04000US08","Colorado",32149.959430616982,5278906
"2015","04000US09","Connecticut",38744.083494980274,3593222
"2015","04000US10","Delaware",30268.08907080114,926454
"2015","04000US11","District of Columbia",47723.099604005656,647484
"2015","04000US12","Florida",26671.07306427052,19645772
"2015","04000US13","Georgia",25640.908351240516,10006693
"2015","04000US15","Hawaii",29927.23863132947,1406299
"2015","04000US16","Idaho",23494.2642954396,1616547
"2015","04000US17","Illinois",30500.261619584206,12873761
"2015","04000US18","Indiana",25345.756631390494,6568645
"2015","04000US19","Iowa",28076.48487066215,3093526
"2015","04000US20","Kansas",27785.585088353317,2892987
"2015","04000US21","Kentucky",24094.316652768153,4397353
"2015","04000US22","Louisiana",24932.45737346692,4625253
"2015","04000US23","Maine",27507.535336694003,1329100
"2015","04000US24","Maryland",36836.83071991108,5930538
"2015","04000US25","Massachusetts",36846.870558058836,6705586
"2015","04000US26","Michigan",26487.75276335072,9900571
"2015","04000US27","Minnesota",32198.34517714979,5419171
"2015","04000US28","Mississippi",20902.357707170588,2988081
"2015","04000US29","Missouri",26273.144889177074,6045448
"2015","04000US30","Montana",26385.98208138571,1014699
"2015","04000US31","Nebraska",27907.64588403014,1869365
"2015","04000US32","Nevada",26376.606889927807,2798636
"2015","04000US33","New Hampshire",34392.627898634724,1324201
"2015","04000US34","New Jersey",36468.7203375764,8904413
"2015","04000US35","New Mexico",23868.760350786448,2084117
"2015","04000US36","New York",33153.88380136322,19673174
